DAY,MONTH,YEAR,HOUR,ENERGIA1,ENERGIA2,TEMPERATURA,UMIDADE,CHUVA,IRRADIACAO
23,10,15,09,0.0,0.0,19.34,77.82,0.0,88.17
23,10,15,10,0.0,0.0,19.78,77.98,0.0,184.18
23,10,15,11,0.0,0.0,21.11,78.32,0.0,355.96
23,10,15,12,0.0,0.0,22.24,78.48,0.0,503.55
23,10,15,13,0.0,0.0,23.98,78.89,0.0,814.57
23,10,15,14,0.0,0.0,24.42,79.07,0.0,831.33
23,10,15,15,0.0,0.0,25.81,79.31,0.0,770.64
23,10,15,16,0.0,0.0,26.26,79.27,0.0,561.52
23,10,15,17,0.0,0.0,26.68,79.54,0.0,413.73
23,10,15,18,0.0,0.0,26.67,79.7,0.0,165.82
24,10,15,06,0.0,0.0,17.15,77.27,0.0,3.6
24,10,15,07,0.0,0.0,18.21,77.64,0.0,70.17
24,10,15,08,0.0,0.0,19.56,78.51,0.0,250.97
24,10,15,09,0.0,0.0,20.77,78.42,0.0,402.51
24,10,15,10,0.0,0.0,22.88,78.56,0.0,634.21
24,10,15,11,26.0,25.5,23.92,78.78,0.0,645.57
24,10,15,12,0.0,0.0,24.78,78.93,0.0,876.21
24,10,15,13,0.0,0.0,25.71,79.14,0.0,782.35
24,10,15,14,0.0,0.0,27.23,79.46,0.0,987.1
24,10,15,15,0.0,0.0,27.19,79.38,0.0,689.45
24,10,15,16,0.0,0.0,27.59,79.46,0.0,581.54
24,10,15,17,0.0,0.0,27.45,79.37,0.0,428.19
24,10,15,18,16.5,16.3,26.9,79.19,0.0,181.61
25,10,15,06,0.0,0.0,18.86,77.42,0.0,2.44
25,10,15,07,0.0,0.0,18.84,77.44,0.0,44.97
25,10,15,08,0.3,0.3,19.1,77.52,0.0,72.1
25,10,15,09,0.4,0.3,18.49,77.35,0.2,55.87
25,10,15,10,0.0,0.0,18.32,77.34,0.2,67.12
25,10,15,11,0.0,0.0,18.2,77.29,0.7,84.48
25,10,15,12,0.0,0.0,18.54,77.45,0.2,173.92
25,10,15,13,1.6,1.6,19.11,77.59,0.0,157.03
25,10,15,14,0.6,0.6,19.09,77.59,0.8,77.18
25,10,15,15,0.0,0.0,18.54,77.47,2.3,51.66
25,10,15,16,0.0,0.0,18.35,77.46,3.7,34.37
25,10,15,17,0.0,0.0,18.21,77.47,3.8,27.58
25,10,15,18,0.0,0.0,18.28,77.49,1.1,19.86
26,10,15,06,0.8,0.7,16.77,77.15,0.0,4.94
26,10,15,07,0.0,0.0,16.97,77.25,0.0,59.41
26,10,15,08,0.0,0.0,18.44,77.85,0.0,228.42
26,10,15,09,0.0,0.0,19.22,77.82,0.0,320.81
26,10,15,10,0.0,0.0,20.45,78.09,0.0,467.44
26,10,15,11,6.5,6.3,21.8,78.44,0.0,705.74
26,10,15,12,0.0,0.0,22.19,78.49,0.0,356.72
26,10,15,13,0.7,0.7,22.16,78.68,0.0,196.39
26,10,15,14,0.8,0.7,22.32,78.65,0.0,194.3
26,10,15,15,0.6,0.6,22.85,78.85,0.0,153.88
26,10,15,16,0.1,0.2,22.17,78.49,0.0,35.49
26,10,15,17,0.2,0.1,21.78,78.44,0.4,33.54
26,10,15,18,0.1,0.1,20.93,78.24,1.0,18.68
27,10,15,06,0.0,0.0,19.07,77.98,0.0,3.26
27,10,15,07,0.1,0.2,19.19,78.04,0.0,42.52
27,10,15,08,0.1,0.0,19.66,78.08,0.0,119.57
27,10,15,09,0.1,0.0,20.76,78.05,0.0,217.88
27,10,15,10,0.3,0.1,21.82,78.91,0.0,292.31
27,10,15,11,1.6,1.6,22.32,78.77,0.0,427.32
27,10,15,12,2.4,2.4,24.0,79.12,0.0,686.38
27,10,15,13,2.0,1.9,25.22,79.64,0.0,548.05
27,10,15,14,2.2,2.2,25.91,79.76,0.0,614.49
03,10,15,06,0.2,0.2,17.67,78.34,0.0,10.05
03,10,15,07,0.0,0.0,17.85,78.37,0.0,67.17
03,10,15,08,0.0,0.0,18.74,78.59,0.0,219.85
03,10,15,09,0.0,0.0,19.76,78.91,0.0,281.81
03,10,15,10,2.6,2.6,20.45,78.97,0.0,314.11
03,10,15,11,0.0,0.0,20.59,79.1,0.0,286.01
03,10,15,12,0.0,0.0,21.52,79.44,0.0,282.62
03,10,15,13,3.9,3.8,21.39,79.16,0.0,188.25
03,10,15,14,0.9,0.8,21.3,79.09,0.0,214.2
03,10,15,15,0.0,0.0,21.12,79.07,0.0,151.6
03,10,15,16,1.0,1.0,21.21,79.13,0.0,80.79
03,10,15,17,0.0,0.0,20.69,79.01,0.0,20.72
04,10,15,06,0.1,0.1,14.47,77.48,0.0,44.38
04,10,15,07,0.4,0.4,15.15,77.62,0.0,243.32
04,10,15,08,0.0,0.0,16.25,78.1,0.0,294.0
04,10,15,09,2.1,2.1,17.41,78.11,0.0,700.17
04,10,15,10,0.0,0.0,18.8,78.57,0.0,887.77
04,10,15,11,0.0,0.0,20.38,79.19,0.0,1010.05
04,10,15,12,0.0,0.0,22.23,79.46,0.0,1044.28
04,10,15,13,0.0,0.0,23.9,79.77,0.0,982.24
04,10,15,14,16.5,16.2,24.68,79.9,0.0,830.41
04,10,15,15,4.1,4.1,25.28,79.88,0.0,633.75
04,10,15,16,0.4,0.4,25.51,79.97,0.0,448.18
04,10,15,17,0.0,0.0,24.96,79.77,0.0,197.03
05,10,15,06,1.8,1.7,11.37,76.62,0.0,35.34
05,10,15,07,1.0,1.0,12.71,76.91,0.0,249.21
05,10,15,08,1.7,1.7,14.99,77.62,0.0,474.1
05,10,15,09,1.3,1.3,17.63,77.96,0.0,709.29
05,10,15,10,0.0,0.0,19.71,78.7,0.0,869.53
05,10,15,11,0.0,0.0,21.86,79.27,0.0,990.07
05,10,15,12,0.0,0.0,23.76,79.59,0.0,1052.6
05,10,15,13,0.0,0.0,25.79,80.04,0.0,989.58
05,10,15,14,16.6,16.4,27.26,80.29,0.0,673.93
05,10,15,15,2.5,2.4,27.82,80.3,0.0,592.98
05,10,15,16,1.3,1.3,28.01,80.27,0.0,406.53
05,10,15,17,0.6,0.6,26.96,79.98,0.0,208.64
06,10,15,06,0.1,0.1,17.09,77.86,0.0,27.73
06,10,15,07,0.3,0.3,18.77,78.18,0.0,223.44
06,10,15,08,0.0,0.0,20.92,79.15,0.0,440.76
06,10,15,09,3.2,3.1,22.77,79.06,0.0,657.73
06,10,15,10,0.0,0.0,24.19,79.51,0.0,839.05
06,10,15,11,0.0,0.0,26.03,79.82,0.0,976.37
06,10,15,12,0.0,0.0,27.4,80.15,0.0,943.89
06,10,15,13,0.0,0.0,29.07,80.51,0.0,893.52
06,10,15,14,0.0,0.0,28.84,80.36,0.0,708.82
06,10,15,15,17.6,17.5,28.75,80.4,0.0,398.31
06,10,15,16,0.9,0.9,28.24,80.33,0.0,267.73
06,10,15,17,0.0,0.0,27.65,80.13,0.0,137.3
07,10,15,05,0.0,0.0,18.2,78.09,0.0,0.0
07,10,15,06,0.6,0.6,18.13,78.05,0.0,25.75
07,10,15,07,0.6,0.5,19.22,78.32,0.0,185.83
07,10,15,08,0.9,0.9,21.8,79.01,0.0,358.51
07,10,15,09,1.7,1.7,23.02,78.94,0.0,589.14
07,10,15,10,0.0,0.0,24.8,79.45,0.0,751.46
07,10,15,11,6.2,6.2,25.91,79.66,0.0,715.88
07,10,15,12,0.4,0.4,27.18,80.04,0.0,826.45
07,10,15,13,0.0,0.0,28.77,80.33,0.0,926.25
07,10,15,14,0.0,0.0,30.05,80.62,0.0,789.82
07,10,15,15,0.0,0.0,32.29,81.1,0.0,590.55
07,10,15,16,0.0,0.0,33.96,81.18,0.0,367.4
07,10,15,17,0.0,0.0,33.38,80.99,0.0,111.91
08,10,15,06,0.0,0.0,20.67,78.17,0.0,5.41
08,10,15,07,0.1,0.1,20.58,78.16,0.0,14.82
08,10,15,08,0.0,0.0,20.04,78.09,0.0,44.97
08,10,15,09,0.3,0.3,20.5,78.18,0.0,77.92
08,10,15,10,1.0,1.0,21.84,78.56,0.0,226.5
08,10,15,11,0.6,0.6,22.74,78.78,0.0,160.43
08,10,15,12,0.4,0.3,22.22,78.58,0.0,57.78
08,10,15,13,0.1,0.1,20.08,78.06,0.0,138.36
08,10,15,14,0.8,0.8,19.89,78.03,0.0,93.84
08,10,15,15,0.1,0.1,19.42,77.98,0.0,2.36
08,10,15,16,0.0,0.0,18.94,77.85,0.1,8.79
08,10,15,17,0.0,0.0,19.05,77.9,0.1,0.38
09,10,15,05,0.0,0.0,16.81,77.41,0.0,0.0
09,10,15,06,0.0,0.0,17.11,77.55,0.0,50.0
09,10,15,07,0.0,0.0,17.4,77.65,0.1,20.58
09,10,15,08,0.0,0.0,16.91,77.49,0.1,13.35
09,10,15,09,0.0,0.0,17.17,77.53,0.0,88.05
09,10,15,10,0.0,0.0,17.79,77.65,0.0,67.75
09,10,15,11,0.0,0.0,17.43,77.65,0.1,33.06
09,10,15,12,0.0,0.0,17.89,77.8,0.1,129.82
09,10,15,13,0.0,0.0,18.41,77.87,0.0,113.79
09,10,15,14,0.0,0.0,18.28,77.88,0.0,70.53
09,10,15,15,0.0,0.0,18.05,77.85,0.0,32.72
09,10,15,16,0.0,0.0,18.21,77.88,0.1,24.32
09,10,15,17,0.0,0.0,18.17,77.92,0.0,30.31
01,11,15,06,0.0,0.0,19.32,77.21,0.0,3.76
01,11,15,07,0.2,0.2,20.15,77.38,0.0,49.49
01,11,15,08,0.6,0.5,20.96,77.55,0.0,144.21
01,11,15,09,1.0,1.0,21.74,77.71,0.0,274.39
01,11,15,10,2.3,2.3,23.17,78.08,0.0,631.58
01,11,15,11,3.1,3.1,24.46,78.47,0.0,924.59
01,11,15,12,3.4,3.3,25.76,78.58,0.0,1040.29
01,11,15,13,3.3,3.3,27.2,78.88,0.0,1041.56
01,11,15,14,2.1,2.0,27.76,79.04,0.0,588.99
01,11,15,15,1.5,1.6,28.0,79.12,0.0,437.51
01,11,15,16,1.9,1.8,28.14,79.05,0.0,502.4
01,11,15,17,0.7,0.7,27.37,78.87,0.0,226.46
01,11,15,18,0.5,0.5,26.65,78.68,0.0,156.65
10,11,15,06,0.0,0.0,22.17,78.17,0.0,1.66
10,11,15,07,0.1,0.0,22.0,78.16,0.0,10.64
10,11,15,08,0.0,0.0,21.98,78.17,0.0,6.74
10,11,15,09,0.0,0.1,20.99,78.03,0.0,6.96
10,11,15,10,0.1,0.0,20.93,77.97,1.0,11.26
10,11,15,11,0.0,0.0,20.85,77.97,1.0,11.43
10,11,15,12,0.0,0.1,20.96,78.03,0.7,8.69
10,11,15,13,0.1,0.0,20.87,78.01,4.2,7.73
10,11,15,14,0.1,0.1,20.96,78.07,5.8,21.92
10,11,15,15,0.0,0.0,21.14,78.09,0.3,18.49
10,11,15,16,0.1,0.1,21.32,78.12,1.5,13.16
10,11,15,17,0.0,0.0,20.99,78.06,17.6,2.11
10,11,15,18,0.0,0.0,20.04,77.87,4.5,1.76
10,11,15,19,0.0,0.0,19.98,77.85,0.4,7.58
11,11,15,06,0.0,0.0,19.05,77.83,0.0,3.35
11,11,15,07,0.1,0.1,19.09,77.85,0.0,21.44
11,11,15,08,0.1,0.1,19.16,77.89,0.0,22.35
11,11,15,09,0.0,0.0,19.53,77.63,3.5,6.23
11,11,15,10,0.1,0.1,20.04,77.95,0.1,27.05
11,11,15,11,0.5,0.5,20.39,78.21,0.0,121.16
11,11,15,12,0.9,0.8,21.57,78.53,0.0,223.76
11,11,15,13,0.2,0.2,21.16,78.38,2.4,39.61
11,11,15,14,0.1,0.1,21.0,78.37,3.2,41.47
11,11,15,15,0.5,0.5,20.97,78.37,0.3,110.47
11,11,15,16,0.5,0.5,21.66,78.51,0.1,124.7
11,11,15,17,0.4,0.4,21.13,78.45,0.0,97.12
11,11,15,18,0.4,0.3,21.85,78.61,0.0,104.52
11,11,15,19,0.2,0.1,21.61,78.56,0.0,37.28
12,11,15,06,0.0,0.1,18.23,77.92,0.0,5.01
12,11,15,07,0.1,0.0,18.2,77.94,0.0,25.62
12,11,15,08,0.3,0.4,18.45,78.04,0.0,90.61
12,11,15,09,0.7,0.7,19.28,77.97,0.0,190.69
12,11,15,10,1.8,1.7,20.71,78.62,0.0,457.58
12,11,15,11,2.5,2.5,23.64,79.45,0.0,769.27
12,11,15,12,3.2,3.1,25.58,79.89,0.0,978.89
12,11,15,13,3.1,3.0,28.24,80.64,0.0,987.87
12,11,15,14,2.8,2.8,30.41,80.88,0.0,905.48
12,11,15,15,1.8,1.7,32.08,81.27,0.0,586.89
12,11,15,16,1.5,1.6,32.34,81.24,0.0,460.48
12,11,15,17,1.3,1.2,32.6,81.33,0.0,418.19
12,11,15,18,0.4,0.5,31.97,81.13,0.0,167.83
13,11,15,06,0.0,0.1,21.84,78.84,0.0,2.79
13,11,15,07,0.1,0.0,21.91,78.93,0.0,9.78
13,11,15,08,0.0,0.0,21.95,78.96,0.0,12.27
13,11,15,09,0.0,0.1,21.14,78.8,0.4,4.87
13,11,15,10,0.1,0.0,19.42,78.34,0.1,9.48
13,11,15,11,0.0,0.0,19.14,78.29,0.1,8.93
13,11,15,12,0.1,0.1,19.04,78.3,0.1,12.78
13,11,15,13,0.1,0.0,19.1,78.28,0.1,25.56
13,11,15,14,1.3,1.4,20.07,78.44,0.1,352.33
13,11,15,15,2.2,2.1,22.78,79.18,0.0,593.91
13,11,15,16,1.8,1.8,23.78,79.46,0.0,514.39
13,11,15,17,1.1,1.1,24.94,79.86,0.0,355.9
13,11,15,18,0.3,0.3,24.81,79.71,0.0,94.29
13,11,15,19,0.1,0.1,23.87,79.47,0.0,17.36
14,11,15,06,0.0,0.0,21.01,78.94,0.0,4.51
14,11,15,07,0.0,0.0,20.68,78.86,0.0,29.39
14,11,15,08,0.0,0.0,20.64,78.84,0.0,62.32
14,11,15,09,0.1,0.0,20.74,78.86,0.0,96.83
14,11,15,10,0.0,0.0,20.79,78.86,0.0,140.67
14,11,15,11,0.1,0.0,21.33,78.96,0.0,252.75
14,11,15,12,0.2,0.0,22.5,79.17,0.0,532.1
14,11,15,13,0.2,0.0,23.92,79.44,0.0,945.24
14,11,15,14,0.2,0.0,25.49,79.87,0.0,999.65
14,11,15,15,0.2,0.0,26.66,80.16,0.0,798.68
14,11,15,16,0.1,0.0,27.19,80.31,0.0,624.56
14,11,15,17,0.1,0.0,27.98,80.43,0.0,461.53
14,11,15,18,0.0,0.0,27.95,80.46,0.0,215.16
14,11,15,19,0.0,0.0,26.52,80.04,0.0,34.39
15,11,15,06,0.0,0.0,15.51,77.49,0.0,12.19
15,11,15,07,0.0,0.0,17.08,78.42,0.0,73.8
15,11,15,08,0.0,0.0,19.32,78.9,0.0,278.41
15,11,15,09,0.0,0.0,20.62,78.96,0.0,512.23
15,11,15,10,0.0,0.0,21.94,79.26,0.0,670.06
15,11,15,11,0.0,0.0,23.75,79.62,0.0,873.43
15,11,15,12,0.0,0.0,25.4,79.89,0.0,868.88
15,11,15,13,0.0,0.0,26.81,80.15,0.0,1033.86
15,11,15,14,0.0,0.0,28.03,80.56,0.0,942.2
15,11,15,15,0.0,0.0,29.11,80.85,0.0,802.99
15,11,15,16,0.0,0.0,29.93,81.03,0.0,657.86
15,11,15,17,0.0,0.0,30.45,81.22,0.0,436.1
15,11,15,18,0.0,0.0,30.42,80.94,0.0,217.7
15,11,15,19,0.0,0.0,29.27,80.69,0.0,44.04
16,11,15,06,0.0,0.0,20.16,78.72,0.0,10.09
16,11,15,07,0.0,0.0,20.15,78.62,0.0,58.56
16,11,15,08,0.0,0.0,21.76,78.87,0.0,262.5
16,11,15,09,0.0,0.0,24.55,79.78,0.0,364.67
16,11,15,10,0.0,0.0,25.8,80.01,0.0,463.39
16,11,15,11,0.0,0.0,27.0,80.52,0.0,582.06
16,11,15,12,0.0,0.0,27.95,80.67,0.0,641.41
16,11,15,13,0.0,0.0,28.17,80.51,0.0,348.82
16,11,15,14,0.0,0.0,28.76,80.51,0.0,385.7
16,11,15,15,0.0,0.0,27.79,80.18,0.0,247.68
16,11,15,16,0.0,0.0,22.36,79.08,6.3,62.67
16,11,15,17,0.0,0.0,22.59,79.36,0.0,110.01
